"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Capitaux Propres (Classe 1)","","1-CP","",1,"","Equity","TND"
"Passifs Non Courants (Classe 1)","","1-PNC","",1,"","Liability","TND"
"Actifs Non Courants (Classe 2)","","2","",1,"","Asset","TND"
"Stocks (Classe 3)","","3","",1,"Stock","Asset","TND"
"Comptes de Tiers - Actif (Classe 4)","","4-A","",1,"","Asset","TND"
"Comptes de Tiers - Passif (Classe 4)","","4-P","",1,"","Liability","TND"
"Comptes Financiers - Actif (Classe 5)","","5-A","",1,"","Asset","TND"
"Comptes Financiers - Passif (Classe 5)","","5-P","",1,"","Liability","TND"
"Charges (Classe 6)","","6","",1,"","Expense","TND"
"Produits (Classe 7)","","7","",1,"","Income","TND"
"Capital - 10","Capitaux Propres (Classe 1)","10","1-CP",1,"","Equity","TND"
"Réserves et primes liées au capital - 11","Capitaux Propres (Classe 1)","11","1-CP",1,"","Equity","TND"
"Résultats reportés - 12","Capitaux Propres (Classe 1)","12","1-CP",1,"","Equity","TND"
"Résultat de l'exercice - 13","Capitaux Propres (Classe 1)","13","1-CP",1,"","Equity","TND"
"Autres capitaux propres - 14","Capitaux Propres (Classe 1)","14","1-CP",1,"","Equity","TND"
"Provisions pour risques & charges - 15","Passifs Non Courants (Classe 1)","15","1-PNC",1,"","Liability","TND"
"Emprunts & dettes assimilées - 16","Passifs Non Courants (Classe 1)","16","1-PNC",1,"","Liability","TND"
"Comptes de liaison des établissements & succursales - 17","Passifs Non Courants (Classe 1)","17","1-PNC",1,"","Liability","TND"
"Autres passifs non courants - 18","Passifs Non Courants (Classe 1)","18","1-PNC",1,"","Liability","TND"
"Capital social - 101","Capital - 10","101","10",1,"","Equity","TND"
"Capital souscrit - appelé, versé - 1013","Capital social - 101","1013","101",1,"","Equity","TND"
"Capital non amorti - 10131","Capital souscrit - appelé, versé - 1013","10131","1013",0,"Equity","Equity","TND"
"Capital amorti - 10132","Capital souscrit - appelé, versé - 1013","10132","1013",0,"Equity","Equity","TND"
"Capital souscrit - non appelé - 1011","Capital social - 101","1011","101",0,"Equity","Equity","TND"
"Capital souscrit - appelé, non versé - 1012","Capital social - 101","1012","101",0,"Equity","Equity","TND"
"Capital souscrit soumis à une réglementation particulière - 1018","Capital social - 101","1018","101",0,"Equity","Equity","TND"
"Fonds de dotation - 105","Capital - 10","105","10",0,"Equity","Equity","TND"
"Compte de l'exploitant - 108","Capital - 10","108","10",0,"Equity","Equity","TND"
"Actionnaires, capital souscrit - non appelé - 109","Capital - 10","109","10",0,"Equity","Equity","TND"
"Primes liées au capital - 117","Réserves et primes liées au capital - 11","117","11",1,"","Equity","TND"
"Primes d'émission - 1171","Primes liées au capital - 117","1171","117",0,"Equity","Equity","TND"
"Primes de fusion - 1172","Primes liées au capital - 117","1172","117",0,"Equity","Equity","TND"
"Primes d'apport - 1173","Primes liées au capital - 117","1173","117",0,"Equity","Equity","TND"
"Primes de conversion d'obligation - 1174","Primes liées au capital - 117","1174","117",0,"Equity","Equity","TND"
"Autres compléments d'apport - 1178","Primes liées au capital - 117","1178","117",0,"Equity","Equity","TND"
"Autres réserves - 118","Réserves et primes liées au capital - 11","118","11",1,"","Equity","TND"
"Réserves pour fonds social - 1181","Autres réserves - 118","1181","118",0,"Equity","Equity","TND"
"Réserve légale - 111","Réserves et primes liées au capital - 11","111","11",0,"Equity","Equity","TND"
"Réserves statutaires - 112","Réserves et primes liées au capital - 11","112","11",0,"Equity","Equity","TND"
"Avoirs des actionnaires - 119","Réserves et primes liées au capital - 11","119","11",0,"Equity","Equity","TND"
"Résultats reportés - 121","Résultats reportés - 12","121","12",0,"Equity","Equity","TND"
"Modifications comptables affectant les résultats reportés - 128","Résultats reportés - 12","128","12",0,"Equity","Equity","TND"
"Résultat bénéficiaire - 131","Résultat de l'exercice - 13","131","13",0,"Equity","Equity","TND"
"Résultat déficitaire - 135","Résultat de l'exercice - 13","135","13",0,"Equity","Equity","TND"
"Titres soumis à des réglementations particulières - 141","Autres capitaux propres - 14","141","14",0,"Equity","Equity","TND"
"Réserves réglementées & réserves soumises à un régime fiscal particulier - 142","Autres capitaux propres - 14","142","14",1,"","Equity","TND"
"Réserves indisponibles - 1421","Réserves réglementées & réserves soumises à un régime fiscal particulier - 142","1421","142",0,"Equity","Equity","TND"
"Amortissements dérogatoires - 143","Autres capitaux propres - 14","143","14",0,"Equity","Equity","TND"
"Réserve spéciale de réévaluation - 144","Autres capitaux propres - 14","144","14",0,"Equity","Equity","TND"
"Subventions d'investissement - 145","Autres capitaux propres - 14","145","14",1,"","Equity","TND"
"Subventions d'investissement - 1451","Subventions d'investissement - 145","1451","145",0,"Equity","Equity","TND"
"Autres subventions d'investissement - 1458","Subventions d'investissement - 145","1458","145",0,"Equity","Equity","TND"
"Subventions d'investissement inscrites aux comptes de résultat - 1459","Subventions d'investissement - 145","1459","145",0,"Equity","Equity","TND"
"Compte du concédant - 147","Autres capitaux propres - 14","147","14",0,"Equity","Equity","TND"
"Provisions pour risques - 151","Provisions pour risques & charges - 15","151","15",1,"","Liability","TND"
"Provisions pour litiges - 1511","Provisions pour risques - 151","1511","151",0,"Liability","Liability","TND"
"Provisions pour garanties données aux clients - 1512","Provisions pour risques - 151","1512","151",0,"Liability","Liability","TND"
"Provisions pour pertes sur marchés à achèvement futur - 1513","Provisions pour risques - 151","1513","151",0,"Liability","Liability","TND"
"Provisions pour amendes & pénalités - 1514","Provisions pour risques - 151","1514","151",0,"Liability","Liability","TND"
"Provisions pour pertes de change - 1515","Provisions pour risques - 151","1515","151",0,"Liability","Liability","TND"
